A,P,sigma,kappa,I_kA,B_T,mark
0.05687567980486072,5.493887843975205,0.35,1.83,400.0,0.8,1
0.057129605418926976,5.519736802905936,0.35,1.83,400.0,0.8,0
0.054836343702855776,5.547562235163675,0.35,1.83,400.0,0.8,0
0.056837230765163886,5.528606430527695,0.35,1.83,400.0,0.8,0
0.05493815255721946,5.495038593789556,0.35,1.83,400.0,0.8,0
0.05566620573189057,5.54267649888486,0.35,1.83,400.0,0.8,0
0.05648540701943482,5.532276161327083,0.35,1.83,400.0,0.8,0
0.055884054255674824,5.472723872178478,0.35,1.83,400.0,0.8,0
0.056217566020240334,5.4563817256104175,0.35,1.83,400.0,0.8,0
0.05703670517517057,5.513166439912206,0.35,1.83,400.0,0.8,0
0.05682807487944895,5.485452596812987,0.35,1.83,400.0,0.8,1
0.05746590573237754,5.53931211213222,0.35,1.83,400.0,0.8,0
0.05688896215041411,5.469463870785197,0.35,1.83,400.0,0.8,0
0.05595397467037393,5.454380376578722,0.35,1.83,400.0,0.8,0
0.05501668013539547,5.5183048953242455,0.35,1.83,400.0,0.8,0
0.05678809812691628,5.546750973243421,0.35,1.83,400.0,0.8,0
0.055531287733607285,5.487045970603487,0.35,1.83,400.0,0.8,0
0.055962479093020254,5.4689471359084285,0.35,1.83,400.0,0.8,0
0.054943576175199245,5.497570492622593,0.35,1.83,400.0,0.8,0
0.05523453970634548,5.516981399468251,0.35,1.83,400.0,0.8,0
0.05586526741580982,5.533267819605784,0.35,1.83,400.0,0.8,0
0.056654606965199576,5.481236664138204,0.35,1.83,400.0,0.8,1
0.05705059106337843,5.53047643574968,0.35,1.83,400.0,0.8,0
0.05571624679628335,5.478832810393024,0.35,1.83,400.0,0.8,0
0.05660129817111775,5.463975248360931,0.35,1.83,400.0,0.8,0
0.060676079287228284,5.040211226975101,0.35,1.83,400.0,0.8,0
0.062437127812309375,5.105960085659204,0.35,1.83,400.0,0.8,0
0.06219185081568196,5.117547903102197,0.35,1.83,400.0,0.8,0
0.06145310200641798,5.096349119595289,0.35,1.83,400.0,0.8,0
0.060495745674185926,5.050928007353598,0.35,1.83,400.0,0.8,0
0.06208156356517437,5.086584620614313,0.35,1.83,400.0,0.8,0
0.06177206299924652,5.115974885741602,0.35,1.83,400.0,0.8,0
0.061980509639804726,5.0948329400658,0.35,1.83,400.0,0.8,0
0.0617539761620392,5.0698700098062615,0.35,1.83,400.0,0.8,0
0.060168808183506776,5.0831467389232365,0.35,1.83,400.0,0.8,0
0.06072010869826155,5.080327864372464,0.35,1.83,400.0,0.8,0
0.06263656389960745,5.062868948586535,0.35,1.83,400.0,0.8,0
0.06025126290487016,5.0676133892022,0.35,1.83,400.0,0.8,0
0.06095713595310301,5.105666651472689,0.35,1.83,400.0,0.8,0
0.061747451136826795,5.117864820910642,0.35,1.83,400.0,0.8,0
0.06206929530078512,5.080113686144007,0.35,1.83,400.0,0.8,0
0.06251841583380106,5.05617229199077,0.35,1.83,400.0,0.8,0
0.06014449089920454,5.048479786077564,0.35,1.83,400.0,0.8,0
0.06224343273159231,5.0856627230251386,0.35,1.83,400.0,0.8,0
0.06056017001690376,5.089579477510337,0.35,1.83,400.0,0.8,0
0.06053329098794246,5.109107037507774,0.35,1.83,400.0,0.8,0
0.06141482350652505,5.077577122609648,0.35,1.83,400.0,0.8,0
0.06098089094724659,5.102503259311889,0.35,1.83,400.0,0.8,0
0.06116179251146313,5.04823999193161,0.35,1.83,400.0,0.8,0
0.0604303723861645,5.135664766454951,0.35,1.83,400.0,0.8,0
0.06832902744897487,4.698917380047742,0.35,1.83,400.0,0.8,0
0.06640089526123061,4.72586430440144,0.35,1.83,400.0,0.8,0
0.06793953808874943,4.700635685582567,0.35,1.83,400.0,0.8,0
0.06695136988328342,4.656170822851183,0.35,1.83,400.0,0.8,0
0.06589245826331254,4.719206906321052,0.35,1.83,400.0,0.8,0
0.06697061424635288,4.649183003146191,0.35,1.83,400.0,0.8,0
0.066521155249304,4.686868623560857,0.35,1.83,400.0,0.8,0
0.06613360372566975,4.714608095075905,0.35,1.83,400.0,0.8,0
0.06787884396635768,4.7008929622617615,0.35,1.83,400.0,0.8,0
0.06689956449617736,4.6916775507369115,0.35,1.83,400.0,0.8,0
0.06735557928359026,4.69393132682215,0.35,1.83,400.0,0.8,0
0.06585661834027172,4.670527406883728,0.35,1.83,400.0,0.8,0
0.06572812789843772,4.678345748591119,0.35,1.83,400.0,0.8,1
0.0665928690138504,4.6433990855532725,0.35,1.83,400.0,0.8,0
0.0659134942800197,4.687711123884439,0.35,1.83,400.0,0.8,0
0.06611506428246271,4.721458678504347,0.35,1.83,400.0,0.8,0
0.06734646879595323,4.663633647120151,0.35,1.83,400.0,0.8,0
0.0673760318512963,4.631227053769638,0.35,1.83,400.0,0.8,0
0.06847896301657638,4.677177010360958,0.35,1.83,400.0,0.8,1
0.0679514910586029,4.637219666658911,0.35,1.83,400.0,0.8,0
0.06706326036936652,4.67801736610212,0.35,1.83,400.0,0.8,1
0.06841676474177699,4.686119471904275,0.35,1.83,400.0,0.8,1
0.06702375358002291,4.655644232975857,0.35,1.83,400.0,0.8,0
0.0665979923688797,4.6810139069138215,0.35,1.83,400.0,0.8,1
0.0669200197577672,4.631107874654701,0.35,1.83,400.0,0.8,0
0.07360262664406808,4.44487941051731,0.35,1.83,400.0,0.8,0
0.07154449813848084,4.410666947687238,0.35,1.83,400.0,0.8,0
0.07144947809489134,4.422487342637314,0.35,1.83,400.0,0.8,0
